Event,Search Source,Newspaper,Article Title,Duplicate,Report Date,Report Year,Article Text Search - water quality,Article Text Search - invasive species,Article Text Search - conservation,Article Text Search - drought,Article Text Search - flood,Article Text Search - ground water depletion,Article Text Search - depletion,Article Text Search - infrastructure,Article Text Search - fish passage,Article Text Search - instream water rights,Article Text Search - water rights,Article Text Search - intergovernmental,Article Text Search - water transfers,Article Text Search - navigation,Article Text Search - fish,Article Text Search - invasive,Article Text Search - diversion,Article Text Search - water diversion,Article Text Search - instream,Article Text Search - aquatic
284,USGS301-350.docx,The Arizona Republic (Phoenix),Western states choose to be good neighbors,FALSE,18-Dec-07,2007,0,0,3,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
285,USGS301-350.docx,Albuquerque Journal: Blogs (New Mexico),Conflicts rise as water dwindles; Worsening drought sparks new battles over who has priority,FALSE,5-May-13,2013,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
286,USGS301-350.docx,Arizona Daily Star (Tucson),CAP tries to end multi-state feud over managing Colorado River,FALSE,2-May-18,2018,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,USGS301-350.docx,The Salt Lake Tribune,"Stifling drought to take its toll on Great Salt Lake, lawns, wildlife and why recent rains won't change that",FALSE,6-May-22,2022,1,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,USGS301-350.docx,The Montrose Daily Press (Colorado),Gunnison water users fear loss of resource,FALSE,23-Apr-07,2007,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
289,USGS301-350.docx,Arizona Daily Star (Tucson),Critics say desalinating seawater too costly,FALSE,23-Jan-22,2022,2,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
290,USGS301-350.docx,The Salt Lake Tribune,A plan for thirsty times,FALSE,23-Jun-07,2007,0,0,3,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
291,USGS301-350.docx,The Arizona Republic (Phoenix),Worth fighting for; Advocates for river try to balance competing interests,FALSE,22-Oct-18,2018,0,0,5,2,2,0,0,0,0,0,0,0,0,0,17,1,0,0,0,2
292,USGS301-350.docx,"Rio Blanco Herald Times (Meeker, Colorado)",Wildlife Commission beginswater plan reviews,FALSE,14-Apr-11,2011,1,0,4,0,0,0,0,0,0,0,4,0,0,0,5,0,1,0,0,4
293,USGS301-350.docx,The Salt Lake Tribune,How the pandemic exposed the water issues for southwestern tribes,FALSE,30-Apr-21,2021,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
